lesson_id,grade,level,title,total_components,external_count,internal_count,relationships,shared_targets,has_shared_targets,feedback_loops,has_feedback_loops,needs_conditions,total_conditions,condition_1_connection,condition_1_type,condition_1_text,condition_1_justification,condition_2_connection,condition_2_type,condition_2_text,condition_2_justification,condition_3_connection,condition_3_type,condition_3_text,condition_3_justification,sub_if_thens,all_conditions_json
G01-L01,1st Grade,1,How Does Sound Travel?,2,1,1,Vibration Strength (+)→ Sound Volume,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L02,1st Grade,1,Why Can We See Through Some Things?,2,1,1,Material Type (+)→ Light Passing Through,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L03,1st Grade,1,How Do Baby Animals Look Like Their Parents?,2,1,1,Parent Traits (+)→ Baby Traits,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L04,1st Grade,1,What Do Animals Need to Survive?,2,1,1,Resources Available (+)→ Animal Health,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L06,1st Grade,1,Why Is It Dark at Night?,2,1,1,Earth's Position (+)→ Amount of Sunlight,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L07,1st Grade,1,How Do Seasons Change?,2,1,1,Amount of Daylight (+)→ Temperature,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L08,1st Grade,1,Can You Send a Message with Light?,2,1,1,Signal Brightness (+)→ Message Received,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L09,1st Grade,1,How Do Plants Grow from Seeds?,2,1,1,Water Amount (+)→ Plant Growth,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G01-L10,1st Grade,1,What Makes a Shadow?,2,1,1,Light Position (+)→ Shadow Size,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G02-L01,2nd Grade,1,Can You Bend Water?,3,1,2,Container Shape (+)→ Water Shape; Container Shape (-)→ Water Level,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G02-L02,2nd Grade,1,Where Did the Puddle Go?,3,1,2,Sun Heat (+)→ Evaporation Speed; Evaporation Speed (-)→ Puddle Size,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G02-L03,2nd Grade,1,Why Do Some Seeds Travel Far?,3,2,1,Seed Shape (fluffy/winged) (+)→ Travel Distance; Wind Interaction (+)→ Travel Distance,"Travel Distance ← [Seed Shape (fluffy/winged), Wind Interaction]",Yes,None,No,Yes,1,Wind Interaction → Travel Distance,AMP,IF Seed Shape (fluffy/winged) is ON,"Wind Interaction amplifies the effect on Travel Distance, but only when Seed Shape (fluffy/winged) is active. Without Seed Shape (fluffy/winged), Wind Interaction alone cannot cause changes in Travel Distance.",,,,,,,,,None,"[{'connection': 'Wind Interaction → Travel Distance', 'type': 'AMP', 'condition_text': 'IF Seed Shape (fluffy/winged) is ON', 'scientific_justification': 'Wind Interaction amplifies the effect on Travel Distance, but only when Seed Shape (fluffy/winged) is active. Without Seed Shape (fluffy/winged), Wind Interaction alone cannot cause changes in Travel Distance.', 'sign': '+'}]"
G02-L04,2nd Grade,1,Can Plants Grow Without Soil?,3,2,1,Sunlight Amount (+)→ Plant Growth; Water Availability (+)→ Plant Growth,"Plant Growth ← [Sunlight Amount, Water Availability]",Yes,None,No,Yes,2,Sunlight Amount → Plant Growth,2EX,IF Water Availability is ON,"Sunlight Amount only affects Plant Growth when Water Availability creates the right conditions. Without Water Availability, Sunlight Amount alone cannot drive Plant Growth.",Water Availability → Plant Growth,2EX,IF Sunlight Amount is ON,"Water Availability only affects Plant Growth when Sunlight Amount creates the right conditions. Without Sunlight Amount, Water Availability alone cannot drive Plant Growth.",,,,,None,"[{'connection': 'Sunlight Amount → Plant Growth', 'type': '2EX', 'condition_text': 'IF Water Availability is ON', 'scientific_justification': 'Sunlight Amount only affects Plant Growth when Water Availability creates the right conditions. Without Water Availability, Sunlight Amount alone cannot drive Plant Growth.', 'sign': '+'}, {'connection': 'Water Availability → Plant Growth', 'type': '2EX', 'condition_text': 'IF Sunlight Amount is ON', 'scientific_justification': 'Water Availability only affects Plant Growth when Sunlight Amount creates the right conditions. Without Sunlight Amount, Water Availability alone cannot drive Plant Growth.', 'sign': '+'}]"
G02-L05,2nd Grade,1,Why Don't We See Dinosaurs?,3,1,2,Habitat Change (-)→ Animal Survival; Animal Survival (+)→ Population Size,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G02-L06,2nd Grade,1,How Do Maps Help Us Find Things?,3,1,2,Land Height (-)→ Water Location; Land Height (+)→ Map Features,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G02-L07,2nd Grade,1,What Makes Wind Blow?,3,1,2,Sun Heating (+)→ Air Movement; Air Movement (+)→ Wind Strength,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G02-L08,2nd Grade,1,How Fast Does Ice Melt?,3,1,2,Surrounding Temperature (+)→ Melting Speed; Melting Speed (-)→ Ice Size,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G02-L09,2nd Grade,1,Why Are There So Many Kinds of Bugs?,3,1,2,Habitat Type (+)→ Body Features; Body Features (+)→ Survival Success,,No,None,No,No,0,,,,,,,,,,,,,None,[]
